AUX_PP1,Mode,EW
AUX_PP1,Mode,IW
AMV_ERRMAT_MPC,Polarization,V
AMH_ERRMAT_MPC,Polarization,H
AUX_PP2,Mode,EW
AUX_PP2,Mode,IW
