A,2014-01-01T00:00:00,2014-06-16T13:26:50,1
A,2014-06-16T13:57:50,2014-09-15T07:33:26,2
A,2014-09-15T10:01:08,2015-06-17T08:56:26,3
A,2015-06-17T09:00:25,2015-07-22T05:52:49,4
A,2015-07-22T12:27:41,2017-10-17T07:01:27,5
A,2017-10-17T11:11:01,2019-02-28T09:02:24,6
A,2019-02-28T09:38:07,2019-03-12T09:20:14,7
A,2019-03-12T09:37:42,2021-06-22T11:00:23,6
A,2021-06-22T11:35:56,,7
B,2015-01-01T00:00:00,2019-05-14T06:00:15,1
B,2019-05-14T09:15:57,2019-05-27T08:33:09,2
B,2029-05-28T09:19:16,2021-06-24T01:46:39,1
B,2021-06-25T02:27:32,,2
